table_name,description
xfls_m1t5,Extragalactic FLS MIPS 24 micron Point Source Catalog
xfls_m2,Extragalactic FLS MIPS 70 micron Catalog
xfls_m3,Extragalactic FLS MIPS 160 micron Catalog
xfls_kpno,Extragalactic FLS KPNO R-band Source List
fls_release_v2_mmt_spectra,FLS MMT/Hectospec Spectroscopic Catalog (V2)
fls_release_v2_photom,FLS SDSS and MIPS Astrometric and Photometric Catalog (V2)
fls_release_v2_sdss_spectra,FLS SDSS Spectroscopic Catalog (V2)
xfls_w2,Extragalactic FLS WIYN/Hydra Spectroscopic Catalog
xfls_w3,Extragalactic FLS WIYN/Hydra Line Strength and Equivalent Width Catalog
xfls_w4,Extragalactic FLS WIYN/Hydra Line Ratios and Extinction Catalog
galcen_psc,Galactic Center IRAC catalog (Ramirez et al. 2008)
glimpse_s07_ar,"GLIMPSE I Spring '07 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse_s07,GLIMPSE I Spring '07 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpse2_v2arc,"GLIMPSE II Spring '08 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse2_v2cat,GLIMPSE II Spring '08 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpse2ep1a08,"GLIMPSE II Epoch 1 December '08 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse2ep1c08,GLIMPSE II Epoch 1 December '08 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpse2ep2a09,"GLIMPSE II Epoch 2 November '09 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse2ep2mra09,GLIMPSE II Epoch 2 November '09 More Reliable Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more reliable</a>)
glimpse2sub,GLIMPSEII Subarray Source List
glimpse3d_v2arc,"GLIMPSE 3D, 2007-2009 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>),(<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE3D_Archive_Erratum.html' target='doc'>Erratum</a>)"
glimpse3d_v1cat_tbl,"GLIMPSE 3D, 2007-2009 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)"
glimpse3dep1a,"GLIMPSE 3D Epoch 1 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
glimpse3dep1c,GLIMPSE 3D Epoch 1 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)
glimpse3dep2a,"GLIMPSE 3D Epoch 2 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)"
xmm_cat_s05,SWIRE XMM_LSS Region Spring '05 Spitzer Catalog
xmm_24_cat_s05,SWIRE XMM_LSS Region 24um Spring '05 Spitzer Catalog
xmm_70_cat_s05,SWIRE XMM_LSS Region 70um Spring '05 Spitzer Catalog
xmm_160_cat_s05,SWIRE XMM_LSS Region 160um Spring '05 Spitzer Catalog
taurus_2008_2_1,Taurus Catalog October 2008 v2.1
ysoggd1215obj,YSOVAR GGD 12-15 Object Table
ysoggd1215lc,YSOVAR GGD 12-15 Light Curve Table
ysoi20050obj,YSOVAR IRAS 20050+2720 Object Table
ysoi20050lc,YSOVAR IRAS 20050+2720 Light Curve Table
ysol1688obj,YSOVAR L1688 Object Table
ysol1688lc,YSOVAR L1688 Light Curve Table
yson1333obj,YSOVAR NGC1333 Object Table
yson1333lc,YSOVAR NGC1333 Light Curve Table
euclid_q1_mer_catalogue,Euclid Q1 MER Catalog
euclid_q1_mer_morphology,Euclid Q1 MER Morphology
euclid_q1_mer_cutouts,Euclid Q1 MER Cutouts
euclid_q1_phz_photo_z,Euclid Q1 PHZ Photo-z Catalog
euclid_q1_phz_star_sed,Euclid Q1 PHZ Star SED Catalog
euclid_q1_phz_galaxy_sed,Euclid Q1 PHZ Galaxy SED Catalog
euclid_q1_phz_classification,Euclid Q1 PHZ Classification Catalog
euclid_q1_phz_qso_physical_parameters,Euclid Q1 PHZ QSO Physical Parameters Catalog
euclid_q1_phz_nir_physical_parameters,Euclid Q1 PHZ NIR Physical Parameters Catalog
euclid_q1_phz_star_template,Euclid Q1 PHZ Star Template Catalog
euclid_q1_spectro_zcatalog_spe_quality,Euclid Q1 SPE Redshift Catalog - Quality
euclid_q1_spectro_zcatalog_spe_classification,Euclid Q1 SPE Redshift Catalog - Classification
euclid_q1_spectro_zcatalog_spe_galaxy_candidates,Euclid Q1 SPE Redshift Catalog - Galaxy Candidates
euclid_q1_spectro_zcatalog_spe_star_candidates,Euclid Q1 SPE Redshift Catalog - Star Candidates
euclid_q1_spectro_zcatalog_spe_qso_candidates,Euclid Q1 SPE Redshift Catalog - QSO Candidates
euclid_q1_spe_lines_line_features,Euclid Q1 SPE Lines Catalog - Spectral Lines
euclid_q1_spe_lines_continuum_features,Euclid Q1 SPE Lines Catalog - Continuum Features
euclid_q1_spe_lines_atomic_indices,Euclid Q1 SPE Lines Catalog - Atomic Indices
euclid_q1_spe_lines_molecular_indices,Euclid Q1 SPE Lines Catalog - Molecular Indices
euclid_q1_spectro_model_catalog_spe_lines_catalog,Euclid Q1 SPE Models Catalog - Lines
euclid_q1_spectro_model_catalog_spe_star_models,Euclid Q1 SPE Star Models Catalog
splices,The SPHEREx Target List of Ice Sources (SPLICES)
ercscbm,Planck ERCSC Bandmerged Catalog
planckphz,Planck List of High Redshift Source Candidates
com_pccs_pcnt,Planck Multi-frequency Catalogue of Non-thermal Sources
com_pccs2_030,Planck PCCS2 30GHz Catalog
com_pccs2_044,Planck PCCS2 44GHz Catalog
com_pccs2_070,Planck PCCS2 70GHz Catalog
com_pccs2_100,Planck PCCS2 100GHz Catalog
com_pccs2_143,Planck PCCS2 143GHz Catalog
com_pccs2_217,Planck PCCS2 217GHz Catalog
com_pccs2_353,Planck PCCS2 353GHz Catalog
com_pccs2_545,Planck PCCS2 545GHz Catalog
com_pccs2_857,Planck PCCS2 857GHz Catalog
com_pccs2e_100,Planck PCCS2E 100GHz Catalog (lower reliability)
com_pccs2e_143,Planck PCCS2E 143GHz Catalog (lower reliability)
com_pccs2e_217,Planck PCCS2E 217GHz Catalog (lower reliability)
com_pccs2e_353,Planck PCCS2E 353GHz Catalog (lower reliability)
com_pccs2e_545,Planck PCCS2E 545GHz Catalog (lower reliability)
com_pccs2e_857,Planck PCCS2E 857GHz Catalog (lower reliability)
com_pccs2_sz_mmf1,Planck PR2 Sunyaev-Zeldovich Cluster MMF1 List
com_pccs2_sz_mmf3,Planck PR2 Sunyaev-Zeldovich Cluster MMF3 List
com_pccs2_sz_pws,Planck PR2 Sunyaev-Zeldovich Cluster PwS List
com_pccs2_sz_union,Planck PR2 Sunyaev-Zeldovich Cluster UNION List
com_pccs2_gcc,Planck Catalog of Galactic Cold Clumps
com_pccs1_030,Planck PCCS 30GHz Catalog
com_pccs1_044,Planck PCCS 44GHz Catalog
com_pccs1_070,Planck PCCS 70GHz Catalog
com_pccs1_100,Planck PCCS 100GHz Catalog
com_pccs1_143,Planck PCCS 143GHz Catalog
com_pccs1_217,Planck PCCS 217GHz Catalog
com_pccs1_353,Planck PCCS 353GHz Catalog
com_pccs1_545,Planck PCCS 545GHz Catalog
com_pccs1_857,Planck PCCS 857GHz Catalog
com_pccs1_sz_mmf1,Planck Sunyaev-Zeldovich Cluster MMF1 List
com_pccs1_sz_mmf3,Planck Sunyaev-Zeldovich Cluster MMF3 List
com_pccs1_sz_pws,Planck Sunyaev-Zeldovich Cluster PwS List
com_pccs1_sz_union2,Planck Sunyaev-Zeldovich Cluster UNION List v2.1
ercsc_f030_e,Planck ERCSC 30GHz Catalog
ercsc_f044_e,Planck ERCSC 44GHz Catalog
ercsc_f070_e,Planck ERCSC 70GHz Catalog
ercsc_f100_e,Planck ERCSC 100GHz Catalog
ercsc_f143_e,Planck ERCSC 143GHz Catalog
ercsc_f217_e,Planck ERCSC 217GHz Catalog
ercsc_f353_e,Planck ERCSC 353GHz Catalog
ercsc_f545_e,Planck ERCSC 545GHz Catalog
ercsc_f857_e,Planck ERCSC 857GHz Catalog
ecc,Planck Early Cold Core Source List (ECC)
esz,Planck Early Sunyaev-Zeldovich Cluster List (ESZ)
hppsc2_bs,High-reliability 70 micron catalog
hppsc2_bl,High-reliability 100 micron Catalog
hppsc2_r,High-reliability 160 micron Catalog
hppsc2_bsrej,Rejected Source 70 micron Catalog
hppsc2_blrej,Rejected Source 100 micron Catalog
hppsc2_rrej,Rejected Source 160 micron Catalog
ppsc_70,PACS Point Source Catalog: 70 microns
ppsc_100,PACS Point Source Catalog: 100 microns
ppsc_160,PACS Point Source Catalog: 160 microns
ppsc_extsl,PACS Point Source Catalog: Extended Source List
ppsc_obstbl,PACS Point Source Catalog: Observation Table
ppsc_rejsl,PACS Point Source Catalog: Rejected Source List
spsc250,SPIRE Point Source Catalog: 250 microns
spsc350,SPIRE Point Source Catalog: 350 microns
spsc500,SPIRE Point Source Catalog: 500 microns
spscxid,SPIRE Point Source Catalog Cross-Reference Matrix
acmccat,ACMC Catalog
dunes,DUNES Catalog
ehopsphot,eHOPS SED Data Catalog
ehopsfits,eHOPS SED Fits Catalog
hgoodsn,GOODS North Catalog
hgoodss,GOODS South Catalog
hatlas,H-ATLAS Catalog
hatlasall,H-ATLAS All Potential Counterparts Catalog
allwise_p3as_psd,AllWISE Source Catalog
allwise_p3as_mep,AllWISE Multiepoch Photometry Table
allwise_p3as_psr,AllWISE Reject Table
allwise_p3as_cdd,AllWISE Atlas Metadata Table
allwise_p3am_xrf,AllWISE Frame Cross-Reference Table
allwise_p3al_lod,AllWISE Atlas Inventory Table
herschel.dunes_chopnod,Herschel DUNES CHOPNOD Image Metadata
herschel.dunes_singleext,Herschel DUNES Single Extension Image Metadata
herschel.hgoods_images,Herschel GOODS Images
herschel.hatlas_images,H-ATLAS Images
herschel.helga_images,HELGA: Herschel Exploitation of the Local Galaxy Andromeda Images
herschel.hexos_spectra,HEXOS Spectra
herschel.kingfish_images,KINGFISH Images
herschel.got_cplus_spectra,GOT_Cplus Spectra
herschel.got_cplus_otf,GOT_Cplus Position-Velocity Maps
herschel.heritage_images,HERITAGE Images
herschel.hermes_images,HERMES Images
herschel.herm33es_images,Herschel M33 Extended Survey (HerM33es) Images
herschel.hifistars_spectra,HIFISTARS Spectra
herschel.hop_spectra,HOP Spectra
herschel.hops_pacs,HOPS PACS Metadata
herschel.hops_spitzer,HOPS Spitzer Metadata
herschel.hops_irs_spectra,HOPS IRS Spectra
herschel.hops_model_fits,HOPS Model Metadata
herschel.hops_images,HOPS Spitzer Images
herschel.hpdp_images,HIFI HPDP Spectral Maps
herschel.hpdp_spectra,HIFI HPDP Spectra
herschel.hpdp_cubes,HIFI HPDP Cubes
herschel.hpdp_spectral_scans,HIFI HPDP Spectral Scans
herschel.pep_images,PEP Images
herschel.phpdp_multi,Herschel PACS HPDP Multi-extension Images
herschel.phpdp_single,Herschel PHPDP Single-extension Images
herschel.phpdp_unimap,Herschel PHPDP Unimap
herschel.phpdp_single_plus_unimap,Herschel PHPDP Single-extension and Unimap Images
herschel.phpdp_images,PACS Highly Processed Data Products (PHPDP)
herschel.ppdisks_spectral,PPDISKS Spectra
herschel.shpdp_spectra,SPIRE HPDP Spectra
herschel.shpdp_cubes,SPIRE HPDP Cubes
herschel.vngs_images,VNGS Images
herschel.vngs_spectra,VNGS Spectra
herschel.vngs_cubes,VNGS Spectral Cubes
herschel.hhli_pacs_photo,Herschel HHLI PACS Photo
herschel.hhli_pacs_par,Herschel HHLI PACS Parallel
herschel.hhli_spire_photo,Herschel HHLI SPIRE Photo
herschel.hhli_spire_par,Herschel HHLI SPIRE Parallel
herschel.hhli_images,Herschel High Level Images (HHLI)
herschel.prismas,PRISMAS Spectra
herschel.hevics_multi,Herschel Virgo Cluster Survey (HeVICS) Images
herschel.hevics_single,Herschel HeVICS Single-extension Images
herschel.hgbs_images,HGBS Images
herschel.magcloudscplus_spectra,MAGCLOUDSCPLUS Images
herschel.v838mon_images,V838Mon Images
herschel.v838mon_spectra,V838Mon Spectra
herschel.localgroup,Herschel Maps of Local Group Galaxies (LocalGroup)
cosmos.cosmos_acs_2_0,COSMOS ACS 2.0 Image Metadata
cosmos.cosmos_cfht,COSMOS CFHT Image Metadata
heritagelphot,HERITAGE LMC Band-Matched Catalog
heritagelclass,HERITAGE LMC Band-Matched Classification Table
heritagel100,HERITAGE LMC PACS 100 micron Catalog
heritagel160,HERITAGE LMC PACS 160 micron Catalog
heritagel250,HERITAGE LMC SPIRE 250 micron Catalog
heritagel350,HERITAGE LMC SPIRE 350 micron Catalog
heritagel500,HERITAGE LMC SPIRE 500 micron Catalog
heritagesphot,HERITAGE SMC Band-Matched Catalog
heritagesclass,HERITAGE SMC Band-Matched Classification Table
heritages100,HERITAGE SMC PACS 100 micron Catalog
heritages160,HERITAGE SMC PACS 160 micron Catalog
heritages250,HERITAGE SMC SPIRE 250 micron Catalog
heritages350,HERITAGE SMC SPIRE 350 micron Catalog
heritages500,HERITAGE SMC SPIRE 500 micron Catalog
hermesdr4xid250,HerMES DR4 Band-merged Catalog (250 micron positions)
hermespacsxid24,HerMES DR4 PACS Catalog (24 micron positions)
hermescosmosxidp,HerMES DR4 COSMOS-XID+ Catalog (24 micron positions)
hermesscat250,HerMES 250 micron StarFinder Catalog
spitzer.fls_sdss,Spitzer FLS SDSS Image Metadata
spitzer.fls_vla,Spitzer FLS VLA Image Metadata
spitzer.fidel_images,Far-Infrared Deep Extragalactic Legacy Survey (FIDEL) Images
spitzer.fidel_images_24um,Spitzer FIDEL 24um Image Metadata
spitzer.fidel_images_70um,Spitzer FIDEL 70um Image Metadata
spitzer.fidel_images_160um,Spitzer FIDEL 160um Image Metadata
spitzer.apoglimpse_0_6_images,Spitzer APOGlimpse Images
spitzer.apoglimpse_1_2_images,Spitzer APOGlimpse Images
spitzer.glimpsei_0_6,Spitzer GlimpseI 0.6 Image Metadata
spitzer.glimpsei_1_2,Spitzer GlimpseI 1.2 Image Metadata
spitzer.glimpseii_0_6,Spitzer GlimpseII 0.6 Image Metadata
spitzer.glimpseii_1_2,Spitzer GlimpseII 1.2 Image Metadata
spitzer.glimpseii_sub,Spitzer GlimpseII Sub Image Metadata
spitzer.glimpse3d_0_6,Spitzer Glimpse3d 0.6 Image Metadata
spitzer.glimpse3d_1_2,Spitzer Glimpse3d 1.2 Image Metadata
spitzer.glimpse360_0_6,Spitzer Glimpse360 0.6 Image Metadata
spitzer.glimpse360_1_2,Spitzer Glimpse360 1.2 Image Metadata
spitzer.glimpse_velacar_0_6,Spitzer Glimpse Velacar 0.6 Image Metadata
spitzer.glimpse_velacar_1_2,Spitzer Glimpse Velacar 1.2 Image Metadata
spitzer.glimpse_deepglimpse_0_6,Spitzer Deep Glimpse 0.6 Image Metadata
spitzer.glimpse_deepglimpse_1_2,Spitzer Deep Glimpse 1.2 Image Metadata
spitzer.glimpse_smog_0_6,Spitzer Glimpse SMOG 0.6 Image Metadata
spitzer.glimpse_smog_1_2,Spitzer Glimpse SMOG 1.2 Image Metadata
spitzer.glimpse_cygx_0_6,Spitzer Glimpse CYGX 0.6 Image Metadata
spitzer.glimpse_cygx_1_2,Spitzer Glimpse CYGX 1.2 Image Metadata
spitzer.glimpse_images,Galactic Legacy Infrared Midplane Survey Extraordinaire (GLIMPSE) Images
spitzer.sgoods_images,Great Observatories Origins Deep Survey (GOODS) Images (Spitzer)
spitzer.sgoods_irac_spitzer_dr3,Spitzer GOODS IRAC DR3 Image Metadata
spitzer.sgoods_mips_spitzer_dr3,Spitzer GOODS MIPS DR3 Image Metadata
spitzer.sgoods_irac_spitzer_dr2,Spitzer GOODS IRAC DR2 Image Metadata
spitzer.sgoods_irs_spitzer,Spitzer GOODS IRS Image Metadata
spitzer.sgoods_ancillary_v1_0,Spitzer GOODS Ancillary Image Metadata
spitzer.irs_std_spectra,Spitzer Spectra of IRS Standard Stars
spitzer.iudf_mosaic,IRAC Ultra-Deep Field (IUDF) Images
spitzer.lvl_images,Local Volume Legacy Survey (LVL) Images
spitzer.lvl_mips,Spitzer LVL MIPS image Metadata
spitzer.lvl_irac,Spitzer LVL IRAC image Metadata
spitzer.lvl_halpha,Spitzer LVL HALPHA image Metadata
spitzer.lvl_galex,Spitzer LVL GALEX image Metadata
spitzer.m31irac_image,M31IRAC Images
spitzer.mips_lg_images,MIPS Local Galaxies (MIPS_LG) Images
spitzer.mipsgal_images,A 24 and 70 Micron Survey of the Inner Galactic Disk with MIPS (MIPSGAL) Images
spitzer.s5_spectra,S5 Spectra
spitzer.s5_lores,Spitzer S5 Lo-res
spitzer.s5_hires,Spitzer S5 Hi-res
spitzer.s4g_images,The Spitzer Survey of Stellar Structure in Galaxies (S4G) Images
spitzer.s4g_details,Spitzer S4G Details Metadata
spitzer.safires_images,Spitzer Archival FIR Extragalactic Survey (SAFIRES) Images
spitzer.safires_science,Spitzer SAFIRES Science Image Metadata
spitzer.safires_ancillary,Spitzer SAFIRES Ancillary Image Metadata
spitzer.sage_images,SAGE Images
spitzer.sage_mips_mos,Spitzer SAGE MIPS Mosaic Image Metadata
spitzer.sage_irs,SAGE-Spec IRS Spectra
spitzer.sage_mips_sed,SAGE-Spec MIPS SED Spectra
spitzer.sage_sed,SAGE-Spec SED Spectra
spitzer.sage_irs_nods,SAGE IRS NODS
spitzer.sage_mips_tiles,Spitzer SAGE MIPS Tiles Image Metadata
spitzer.sage_irac_mos,Spitzer SAGE IRAC Mosaic Image Metadata
spitzer.sage_spec_cubes,Spitzer SAGE SPEC Cubes
spitzer.sage_irac_tiles,Spitzer SAGE IRAC Tiles Image Metadata
spitzer.sage_smc_images,"Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud (SAGE-SMC) Images"
spitzer.sage_smc_irac,Spitzer SAGE SMC IRAC
spitzer.sage_smc_mips,Spitzer SAGE SMC MIPS
spitzer.s_candels_images,Spitzer-Cosmic Assembly Near-Infrared Deep Extragalactic Legacy Survey (S-CANDELS) Images
spitzer.sdwfs_combined,Spitzer SDWFS Combined Image Metadata
spitzer.sdwfs_epoch1,Spitzer SDWFS Epoch1 Image Metadata
cosmos.cosmos_chandra_merged,COSMOS Chandra Merged Image Metadata
cosmos.cosmos_galex,COSMOS Galex Image Metadata
cosmos.cosmos_irac,COSMOS IRAC Image Metadata
cosmos.cosmos_mips,COSMOS MIPS Image Metadata
cosmos.cosmos_kpno,COSMOS KPNO Image Metadata
cosmos.cosmos_nicmos,COSMOS NICMOS Image Metadata
cosmos.cosmos_sdss,COSMOS SDSS Image Metadata
cosmos.cosmos_subaru,COSMOS SUBARU Image Metadata
cosmos.cosmos_ukirt,COSMOS UKIRT Image Metadata
cosmos.cosmos_vla,COSMOS VLA Image Metadata
cosmos.cosmos_wfpc,COSMOS WFPC Image Metadata
cosmos.cosmos_xmm,COSMOS XMM Image Metadata
cosmos.cosmos_ultravista,COSMOS Ultravista Image Metadata
cosmos.zcosmos_bright_v3_5_spec,COSMOS Bright V3.5 Spectra
cosmos.cosmos_magellan_opt_spec_30,COSMOS Magellan Spectra
cosmos.cosmos_irs,COSMOS IRS Spectra
cosmos.cosmos_wfc3,COSMOS WFC3 Image Metadata
cosmos.cosmos_images,Cosmic Evolution Survey (COSMOS)
cosmos.zcosmosdr3,COSMOS Z-COSMOS Spectra
cosmos.cosmos_vuds,COSMOS VUDS Spectra
cosmos.cosmos_deimos_redshift,COSMOS DEIMOS Spectra
cosmos.a3cosmos_images,A3 COSMOS Image Metadata
cosmos.candels_cutouts,COSMOS CANDELS Images
cosmos.candels_images,COSMOS CANDELS Images
cosmos.cosmos_3dhst,COSMOS 3D HST
ztf.ztf_current_meta_sci,ZTF Science Exposure Images
ztf.ztf_current_meta_ref,ZTF Reference (coadd) Images
ztf.ztf_current_meta_raw,ZTF Raw Metadata Table
ztf.ztf_current_meta_cal,ZTF Calibration Metadata Table
ztf.ztf_current_meta_deep,ZTF Deep Reference Images
ztf.ztf_current_path_sci,ZTF Science Product Paths
ztf.ztf_current_path_ref,ZTF Reference Product Paths
ztf.ztf_current_path_raw,ZTF Raw Product Paths
ztf.ztf_current_path_cal,ZTF Calibration Product Paths
ztf.ztf_current_path_deep,ZTF Deep Reference Product Paths
ptf.ptf_procimg,PTF Level 1 Images
ptf.ptf_refims,PTF Level 2 Images
